id,leag_id,TM,POS,AGE,FIRST,LAST,B,T,AVG,ERA,BABIP,K/9,BB/9,K/BB,H/9,HR/9,CLU,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,SINGLE,DOUBLE,TRIPLE,HOMERUN,WALK,STRIKEOUT,HBP,OUT,GROUNDOUT,FLYOUT,LINEOUT,POPOUT
1,17282,LAD,RP,28,Michael,Kopech,R,R,0.183,3.46,0.245,11.7,4.52,2.59,5.85,1.2,-0.27,0.395,0.362,0.243,0.138,0.559,0.303,0.10855949895615867,0.022964509394572025,0.0,0.027139874739039668,0.09394572025052192,0.3089770354906054,0.012526096033402923,0.42588726513569936,0.4362745098039216,0.32107843137254904,0.16176470588235295,0.08088235294117647
2,16466,LAD,RP,29,Brent,Honeywell,R,R,0.235,2.63,0.252,4.3,2.63,1.64,7.65,0.72,0.05,0.347,0.381,0.271,0.144,0.525,0.331,0.13636363636363635,0.04727272727272727,0.0018181818181818182,0.025454545454545455,0.07454545454545454,0.20363636363636364,0.00909090909090909,0.5018181818181818,0.46525096525096526,0.2722007722007722,0.16988416988416988,0.09266409266409266
3,33825,LAD,SP,25,Yoshinobu,Yamamoto,R,R,0.226,3.0,0.305,10.5,2.2,4.77,7.8,0.7,-0.15,0.396,0.358,0.246,0.146,0.529,0.325,0.13380281690140844,0.0528169014084507,0.0035211267605633804,0.01936619718309859,0.061619718309859156,0.27992957746478875,0.0035211267605633804,0.4454225352112676,0.4714587737843552,0.2769556025369979,0.18181818181818182,0.06976744186046512
4,12572,LAD,RP,36,Blake,Treinen,R,R,0.193,1.93,0.255,10.8,2.12,5.09,6.36,0.96,-0.15,0.435,0.313,0.252,0.165,0.539,0.296,0.11458333333333333,0.0390625,0.0,0.0234375,0.059895833333333336,0.296875,0.0078125,0.4583333333333333,0.46195652173913043,0.28804347826086957,0.15760869565217392,0.09239130434782608
5,17734,LAD,RP,29,Evan,Phillips,R,R,0.229,3.62,0.298,10.37,2.8,3.71,7.9,0.99,0.29,0.32,0.408,0.272,0.197,0.565,0.238,0.12850467289719625,0.04205607476635514,0.0,0.02570093457943925,0.07009345794392523,0.27102803738317754,0.004672897196261682,0.45794392523364486,0.44148936170212766,0.3058510638297872,0.17287234042553193,0.0797872340425532
6,14706,LAD,RP,30,Anthony,Banda,L,L,0.233,3.08,0.291,9.06,3.26,2.78,7.97,0.91,0.71,0.367,0.353,0.281,0.187,0.482,0.331,0.1491442542787286,0.02689486552567237,0.0024449877750611247,0.02444987775061125,0.07579462102689487,0.25183374083129584,0.007334963325183374,0.4621026894865526,0.4562841530054645,0.28688524590163933,0.16666666666666666,0.09016393442622951
7,27487,LAD,SP,26,Landon,Knack,L,R,0.219,3.65,0.242,9.0,2.35,3.83,7.57,1.83,0.54,0.505,0.291,0.204,0.138,0.51,0.352,0.12345679012345678,0.03497942386831276,0.00411522633744856,0.037037037037037035,0.06378600823045268,0.2551440329218107,0.00823045267489712,0.4732510288065844,0.3900226757369615,0.35147392290249435,0.16780045351473924,0.09070294784580499
8,5615,LAD,RP,36,Ryan,Brasier,R,R,0.21,3.54,0.247,8.04,1.61,5.0,7.07,0.96,-0.27,0.45,0.325,0.225,0.125,0.525,0.35,0.1290909090909091,0.04181818181818182,0.0036363636363636364,0.025454545454545455,0.06545454545454546,0.24545454545454545,0.005454545454545455,0.48363636363636364,0.46994535519125685,0.2659380692167577,0.1621129326047359,0.10200364298724955
9,30085,LAD,SP,25,Ben,Casparius,R,R,0.273,2.16,0.429,12.96,4.32,3.0,9.72,0.0,0.22,0.429,0.286,0.286,0.095,0.476,0.429,0.15454545454545454,0.04727272727272727,0.0036363636363636364,0.02909090909090909,0.08545454545454545,0.21636363636363637,0.00909090909090909,0.45454545454545453,0.46764091858037576,0.25260960334029225,0.16701461377870563,0.1127348643006263
10,7146,LAD,RP,37,Daniel,Hudson,R,R,0.197,3.0,0.225,9.0,2.71,3.32,6.57,1.43,-0.47,0.412,0.376,0.212,0.124,0.565,0.312,0.11037527593818984,0.03090507726269316,0.004415011037527594,0.03090507726269316,0.0684326710816777,0.2671081677704194,0.004415011037527594,0.48344370860927155,0.43498817966903075,0.3333333333333333,0.14893617021276595,0.08274231678486997
11,17479,LAD,SP,29,Jack,Flaherty,R,R,0.233,3.17,0.286,9.9,3.1,3.22,8.5,1.5,0.52,0.436,0.341,0.223,0.157,0.542,0.3,0.13397790055248618,0.027624309392265192,0.006906077348066298,0.034530386740331494,0.05939226519337017,0.2941988950276243,0.0055248618784530384,0.43784530386740333,0.41414141414141414,0.26464646464646463,0.25252525252525254,0.06868686868686869
12,26944,LAD,SP,22,Edgardo,Henriquez,R,R,0.167,2.7,0.286,13.5,5.4,2.5,5.4,0.0,0.17,0.571,0.286,0.143,0.429,0.429,0.143,0.12181818181818181,0.034545454545454546,0.0018181818181818182,0.02181818181818182,0.06363636363636363,0.2818181818181818,0.007272727272727273,0.4672727272727273,0.4760432766615147,0.2472952086553323,0.15765069551777433,0.11901081916537867
13,19374,LAD,SP,29,Walker,Buehler,R,R,0.286,5.38,0.316,7.65,3.35,2.29,10.63,1.91,0.63,0.429,0.363,0.208,0.143,0.522,0.335,0.16911764705882354,0.04411764705882353,0.003676470588235294,0.03860294117647059,0.07904411764705882,0.20036764705882354,0.011029411764705883,0.4540441176470588,0.45785876993166286,0.30068337129840544,0.1776765375854214,0.06378132118451026
